raw institutional statement,Attribute,Object,Deontic,Aim,Condition,Or else
make recommendations to the department on the adoption of policies to advance the goals for the council set forth in this order,,recommendations on the adoption of policies to advance the goals for the council set forth in this order,,make,to the department,
3,,,,,,
recommend policies or activities intended to increase spending of food dollars on michigan-grown and michigan-processed foods by 10 percent,,policies or activities intended to increase spending of food dollars on michigan-grown and michigan-processed foods by 10 percent,,recommend,,
4,,,,,,
advise the department regarding the select michigan program,,the department,,advise,regarding the select michigan program,
the efforts of the council are intended to positively impact the entire state with a special emphasis on school children low-income families and individuals in both urban and rural areas,,,,,,
the council shall be staffed and assisted by personnel from the department of agriculture as directed by the director of the department of agriculture,council,,shall,be staffed and assisted,by personnel from the department of agriculture as directed by the director of the department of agriculture,
the budgeting procurement and related management functions of the council shall be performed under the direction and supervision of the director of the department of agriculture,,budgeting procurement and related management functions of the council,shall,be performed,under the direction and supervision of the director of the department of agriculture,
the council shall adopt procedures consistent with michigan law and this order governing its organization and operations,council,procedures,shall,adopt,consistent with michigan law and this order governing its organization and operations,
a majority of the members of the council serving constitutes a quorum for the transaction of the council s business,majority of the members of the council serving of the council,a quorum,,,,
the council shall act by a majority vote of its serving members,council,,shall,act,by a majority vote of its serving members,
the council shall meet at the call of the chairperson and as may be provided in procedures adopted by the council,council,,shall,meet,at the call of the chairperson and as may be provided in procedures adopted by the council,
the council may establish committees and request public participation on workgroups as the council deems necessary,council,committees,may,establish,,
and request public participation on workgroups as the council deems necessary,,public participation on workgroups,,request,as the council deems necessary,
the council may also adopt reject or modify any recommendations proposed by a committee or a workgroup,council,any recommendations proposed by a committee or a workgroup,may,adopt reject modify,,
the council may as appropriate make inquiries studies investigations,council,inquiries studies investigations,may,make,as appropriate,
hold hearings,,hearings,,hold,,
and receive comments from the public,,comments,,receive,from the public,
the council may also consult with outside experts in order to perform its duties including but not limited to experts in the private sector organized labor government agencies and at institutions of higher education,council,outside experts experts in the private sector organized labor government agencies and at institutions of higher education,may,consult with,in order to perform its duties,
members of the council shall serve without compensation,members of the council,,shall,serve,without compensation,
members of the council may receive reimbursement for necessary travel and expenses according to relevant statutes and the rules and procedures of the department of management and budget and the civil service commission subject to available funding,members of the council,reimbursement,may,receive,for necessary travel and expenses according to relevant statutes and the rules and procedures of the department of management and budget and the civil service commission subject to available funding,
the council may hire or retain contractors sub-contractors advisors consultants and agents,council,contractors sub-contractors advisors consultants and agents,may,hire or retain,,
and may make and enter into contracts necessary or incidental to the exercise of the powers of the council and the performance of its duties as the director of the department deems advisable and necessary in accordance with this order and the relevant statutes rules and procedures of the department of management and budget and the civil service commission,,contracts necessary or incidental to the exercise of the powers of the council and the performance of its duties,may,make enter,the director of the department deems advisable and necessary in accordance with this order and the relevant statutes rules and procedures of the department of management and budget and the civil service commission,
the council may accept donations of labor services or other things of value from any public or private agency or person including but not limited to support from michigan state university the michigan integrated food and farming system the food bank council of michigan and the w.k. kellogg foundation,council,donations of labor services or other things of value but not limited to support,may,accept,from any public or private agency or person from michigan state university the michigan integrated food and farming system the food bank council of michigan and the w.k. kellogg foundation,
members of the council shall refer all legal legislative and media contacts to the department,members of the council,all legal legislative and media contacts,shall,refer,to the department,
all departments committees commissioners or officers of this state or of any political subdivision of this state shall give to the council or to any member or representative of the council any necessary assistance required by the council or any member or representative of the council in the performance of the duties of the council so far as is compatible with its his or her duties,all departments committees commissioners or officers of this state or of any political subdivision of this state,council or to any member or representative of the council any necessary assistance required by the council or any member or representative of the council in the performance of the duties of the council,shall,give,far as is compatible with its his or her duties,
free access shall also be given to any books records or documents in its his or her custody relating to matters within the scope of inquiry study or investigation of the council,,free access to any books records or documents in its his or her custody relating to matters within the scope of inquiry study or investigation of the council,shall,be given,,
any suit action or other proceeding lawfully commenced by against or before any entity affected by this order shall not abate by reason of the taking effect of this order,,any suit action or other proceeding lawfully commenced by against or before any entity affected by this order,shall not,abate,by reason of the taking effect of this order,
the invalidity of any portion of this order shall not affect the validity of the remainder of the order,,the validity of the remainder of the order,shall not,affect,the invalidity of any portion of this order,
this order is effective upon filing,,this order,,effective,upon filing,
metropolitan county council hereby goes on record as requesting the metropolitan board of health to create a food policy council,,,,,,
the metropolitan clerk is directed to send a copy of this resolution to each member of the metropolitan board of health and to health director dr. bill paul,the metropolitan clerk,a copy of this resolution,is directed,to send,to each member of the metropolitan board of health and to health director dr. bill paul,
the new haven food policy council is established,,,,,,
and composed of eleven 11 members ten 10 appointed by the mayor and approved by the board of alderman and one 1 aldermanic representative elected by the board of alderman,,of eleven members ten appointed by the mayor and approved by the board of alderman and one aldermanic representative elected by the board of alderman,,composed,,
at its initial formation three 3 members shall serve for a oneyear term,three members,a oneyear term,shall,serve for,its initial formation,
four 4 shall serve for a twoyear term,four,a twoyear term,shall,serve for,,
and four 4 members shall serve for a threeyear term,four members,a threeyear term,shall,serve for,,
subsequent council members in addition to the aldermanic representative will be appointed by the mayor,mayor,subsequent council members in addition to the aldermanic representative,will,appointed,,
and approved by the board of alderman for a threeyear term,board of alderman,the,,approved,,
that may be renewed,,,may,be renewed,,
the council may recommend prospective appointees to the mayor and board of alderman,council,prospective appointees,may,recommend,to the mayor and board of alderman,
the ten 10 members of the council appointed by the mayor shall include one 1 member of the department or organization administering the council six 6 members of the community personally engaged in the production and distribution of food or in the effects of food on the local economy and health of city residents,mayor,the ten members of the one member of the department or organization administering the council six members of the community personally engaged in the production and distribution of food or in the effects of food on the local economy and health of city residents,shall,include,,
members may be chosen from the following fields hunger relief nutrition businesses in the food sector farming and institutional food management,,members from the following fields hunger relief nutrition businesses in the food sector farming and institutional food management,may,be chosen,,
three 3 of the members of the council shall be selected from the public at large,,three of the members of the council,shall,be selected,from the public at large,
additionally for the council 's initial formation two 2 temporary members will also be appointed by the mayor for a onetime threeyear term to participate in the establishment of council goals and objectives,mayor,two temporary members,will,be appointed,additionally for the council initial formation for a onetime threeyear term to participate in the establishment of council goals and objectives,
and approved by the board of alderman,board of alderman,,,,,
the two 2 temporary members of the council shall include one 1 member of the community personally engaged in food production distribution or in the effects of food on the local economy and health of city residents and one 1 member selected from the public at large,,of the council one member of the community personally engaged in food production distribution or in the effects of food on the local economy and health of city residents and one member selected from the public at large,shall,include,two temporary members,
three 3 years after its initial formation and every three years thereafter the board of aldermen will evaluate the council on the basis of previous annual reports,board of aldermen,the council,will,evaluate,three years after its initial formation and every three years thereafter the on the basis of previous annual reports,
be it resolved that the council of the city of new orleans strongly supports the creation of a food policy advisory panel,council of the city of new orleans,the creation of a food policy advisory panel,,supports,,
and requests that regular updates be given to the special projects and economic development committee,,regular updates,,be given,the special projects and economic development committee,
there is hereby created a new york state council on food policy,,,,,,
the council shall consist of twenty-one members appointed by the governor as follows a the commissioner of agriculture and markets the commissioner of health the commissioner of the office of temporary disability assistance the commissioner of education the commissioner of the department of economic development and the director of the office for the aging b four members with experience and expertise related to agriculture nutrition or food policy appointed on the recommendation of the legislative leaders one each by the temporary president of the senate the speaker of the assembly the minority leader of the senate and the minority leader of the assembly c the dean of the new york state college of agriculture and life sciences d one member representing farm organizations e one member representing school food administrators f one member representing consumers g two members representing an organization that provides food assistance h one member representing anti-hunger advocates i one member who is a nutritionist and j three members representing the food industry including producers distributors processors or retailers who are residents of and work in the state of new york at least one of whom produces organic food,council,of twenty-one members appointed by the governor as follows the commissioner of agriculture and markets the commissioner of health the commissioner of the office of temporary disability assistance the commissioner of education the commissioner of the department of economic development and the director of the office for the aging four members with experience and expertise related to agriculture nutrition or food policy appointed on the recommendation of the legislative leaders one each by the temporary president of the senate the speaker of the assembly the minority leader of the senate and the minority leader of the assembly the dean of the new york state college of agriculture and life sciences one member representing farm organizations one member representing school food administrators one member representing consumers two members representing an organization that provides food assistance one member representing anti-hunger advocates one member who is a nutritionist three members representing the food industry including producers distributors processors or retailers who are residents of and work in the state of new york at least one of whom produces organic food,shall,consist,,
the commissioner of agriculture and markets shall serve as the chairperson of the council,commissioner of agriculture and markets,,shall,serve,as the chairperson of the council,
the members of the council who serve in an ex officio capacity may designate a representative to participate on the council on their behalf,members of the council who serve in an ex officio capacity,a representative,may,designate,to participate on the council on their behalf,
the council shall set the time and place of its meetings,council,the time and place of its meetings,shall,set,,
and meet as frequently as business requires but shall meet at least twice each year,,,,,meet as frequently as business requires but shall meet at least twice each year,
a majority of the members of the council shall constitute a quorum,majority of the members of the council,a quorum,shall,constitute,,
and an affirmative vote of the majority of the members of the council shall be required for any action by the council,the council,an affirmative vote of the majority of the members of,shall,be required,for any action by the council,
the council shall a develop and recommend a food policy for the state which recognizes that it is in the best interests of the state to ensure the availability of an adequate supply of affordable fresh nutritious food to its residents,council,a food policy for the state which recognizes that it is in the best interests of the state to ensure the availability of an adequate supply of affordable fresh nutritious food to its residents,shall,develop and recommend,,
the council shall develop and recommend state policies to expand agricultural production including locally-grown and organically-grown food,council,state policies to expand agricultural production including locally-grown and organically-grown food,shall,develop and recommend,,
the council shall develop and recommend a strategic plan for implementation of the state food policy including benchmarks and criteria for measuring progress in achieving state food policy objectives,council,a strategic plan for implementation of the state food policy including benchmarks and criteria for measuring progress in achieving state food policy objectives,shall,develop and recommend,,
the council shall offer comments on state regulations legislation and budget proposals in the area of food policy to ensure a coordinated and comprehensive inter-agency approach to food policy issues,council,comments on state regulations legislation and budget proposals in the area of food policy to ensure a coordinated and comprehensive inter-agency approach to food policy,shall,offer,,
the council shall issue a written report on the first day of december each year on a the activities of the council during the preceding year b recommended food policies for the state c recommended changes to the strategic plan d an account of the progress made in achieving the goals of the council and e actions which are necessary to implement the recommendations of the council and effectuate the purposes of this order,council,a written report activities of the council during the preceding year recommended food policies for the recommended changes to the strategic an account of the progress made in achieving the goals of the council actions which are necessary to implement the recommendations of the council and effectuate the purposes of this order,shall,issue,on the first day of december each year on,
no member of the council shall be disqualified from holding any public office or employment,council,,shall,be disqualified,from holding any public office or employment,
nor shall he or she forfeit any such office or employment by virtue of his or her appointment hereunder,,any such office or employment,shall,forfeit,by virtue of his or her appointment hereunder,
members of the council shall receive no compensation for their services but shall be allowed their actual and necessary expenses incurred in the performance of their functions hereunder,members of the council,compensation for their services their actual and necessary expenses incurred in the performance of their functions hereunder,shall shall,receive be allowed,,
but shall be allowed their actual and necessary expenses incurred in the performance of their functions hereunder,,their actual and necessary expenses incurred in the performance of their functions hereunder,shall,be allowed,,
all members of the council shall serve at the pleasure of the governor,all members of the council,,shall,serve,at the pleasure of the governor,
and vacancies shall be filled in the same manner as original appointments,,vacancies,shall,be filled,in the same manner as original appointments,
every agency department office division or public authority of this state shall cooperate with the council,every agency department office division or public authority of this state,,shall,cooperate,with the council,
the san francisco food policy council was established on july 9th 2009 through executive directive 3-Sep healthy and sustainable food for san francisco,,,,,,
the san francisco food policy council sffpc serves as an advisory committee to monitor and advance the directive on healthy and sustainable food,san francisco food policy council sffpc,,,serves,as an advisory committee to monitor and advance the directive on healthy and sustainable food,
the sffpc works collaboratively across sectors in the food system to support the activities outlined in the directive,sffpc,,,works,collaboratively across sectors in the food system to support the activities outlined in the directive,
membership in the san francisco food policy council includes the following city agencies mayor s office dph office of food systems shape up program representative department of recreation and parks director or designee san francisco redevelopment agency director or designee human service agency director or designee director of department of aging and adult services director of department of children youth and their families or designee director of department of the environment or designee san francisco unified school district student nutrition services community stakeholders urban agriculture nutrition expert food retail restaurants distributor food security task force southeast food access working group tenderloin hunger task force fisheries,san francisco food policy council,city agencies mayor office dph office of food systems shape up program representative department of recreation and parks director or designee san francisco redevelopment agency director or designee human service agency director or designee director of department of aging and adult services director of department of children youth and their families or designee director of department of the environment or designee san francisco unified school district student nutrition services community stakeholders urban agriculture nutrition expert food retail restaurants distributor food security task force southeast food access working group tenderloin hunger task force fisheries,,includes,,
subcommittees the council may convene subcommittees to advise on policy or programs,council,subcommittees to advise on policy or programs,may,convene,,
these subcommittees may include non-council members,,non-council members,may,include,these subcommittees,
the council will monitor timelines,council,timelines,will,monitor,,
and review all work products resulting from the executive directive on healthy and sustainable food 3-Sep,,all work products resulting from the executive directive on healthy and sustainable food,,review,,
work products may include research recommendations draft ordinances administrative policies annual report etc.,,research recommendations draft ordinances administrative policies annual report etc.,may,include,work products,
chair and vice chair the chairs of the council will develop and review agendas prior to meetings,chairs of the council,agendas,will,develop and review,prior to meetings,
and provide overall guidance to the project,,overall guidance to the project,,provide,,
the office of food systems will schedule meetings,office of food systems,meetings,will,schedule,,
provide regular communications with the council including project updates,,regular communications with the council including project updates,,provide,,
the office of food systems will work with public and private stakeholders to draft the annual report,office of food systems,,will,work,with public and private stakeholders to draft the annual report,
the sffpc will monitor progress of executive directive on healthy and sustainable food,sffpc,progress of executive directive on healthy and sustainable food,will,monitor,,
and review ways to incorporate food policy principles into municipal code general plan and other relevant planning and policy documents,,ways to incorporate food policy principles into municipal code general plan and other relevant planning and policy documents,,review,,
the sffpc shall issue an annual report outlining departmental efforts to implement the directive,sffpc,an annual report outlining departmental efforts to implement the directive,shall,issue,,
and will include achievements throughout the year,,achievements throughout the year,will,include,,
the annual report will also provide information about current activities including food system related recommendations from other task forces and advisory committees,,information about current activities including food system related recommendations from other task forces and advisory committees,will,provide,annual report,
it will also include a prioritized list of recommendations for future research policies and initiatives that advance the directive,,a prioritized list of recommendations for future research policies and initiatives that advance directive,will,include,the,
the sffpc will meet bi-monthly beginning in late august 2009,sffpc,,will,meet,bi-monthly beginning in late august 2009,
the council will promote encourage clearly defined programs for education community economic development and land/water protection in the county,council,clearly defined programs for education community economic development and land/water protection in the county,will,promote encourage,,
the council will where feasible develop clearly defined programs for education community economic development and land/water protection in the county,council,clearly defined programs for education community economic development and land/water protection in the county,will,develop,where feasible,
the board of commissioners encourage the attendance and participation of others as individuals or through their respective organizations or public agencies,board of commissioners,the attendance and participation of others as individuals or through their respective organizations or public agencies,,encourage,,
in a general body to be called the congresso,,to be called the congresso,,,,
the congresso will be the forum for the deliberations of the rio arriba county food and agriculture council,,,,,,
the congresso will assist in the development of policy initiatives and the creation of the council s education community economic development and agriculture land and water rights protection programs,congresso,,will,assist,in the development of policy initiatives and the creation of the council education community economic development and agriculture land and water rights protection programs,
the congresso will assist in the development of policy initiatives and the creation of the council s education community economic development and agriculture land and water rights protection programs,congresso,,will,assist,in the development of policy initiatives and the creation of the council education community economic development and agriculture land and water rights protection programs,
be it resolved by the council of the city of knoxville that we will lend support and encourgement to the formation of a community-wide food policy council with broad representation from private and public interests to continually monitor knoxville 's food supply system recommend appropriate actions to improve the system as needed,the council of the city of knoxville,support and encourgement,will,lend,to the formation of a community-wide food policy council with broad representation from private and public interests to continually monitor knoxville food supply system recommend appropriate actions to improve the system as needed,
subsequent legislation,,,,,,
be it resolved by the commission of knox county as follows :] that the food policy council established pursuant to authorization by city council resolution # r-202-81 and by mayoral appointment in 1982 shall be expanded to become a joint venture of the city of knoxville and knox county,food policy council established pursuant to authorization by city council resolution and by mayoral appointment in 1982,,shall,be expanded,to become a joint venture of the city of knoxville and knox county,
and shall continue to monitor local food delivery systems to ensure that all citizens have access to an adequate and nutritious food supply,,local food delivery systems,shall,continue to monitor,to ensure that all citizens have access to an adequate and nutritious food supply,
.,,,,,,
and shall continue to prepare an annual report on the status of the area food system with suggestions for strengthening system performance,,an annual report on the status of the area food system with suggestions for strengthening system performance,shall,continue to prepare,,
be it further resolved to effectuate the expansion of the food policy council its membership shall be expanded to include 11 members comprised of six members appointed by the county executive and five members appointed by the mayor,food policy council,,shall,be expanded,to include 11 members comprised of six members appointed by the county executive and five members appointed by the mayor,
subsequent legislation,,,,,,
member terms will be for a period of three years,,terms,will,be,for a period of three years,
the intial appointees shall serve for the following terms one appointee of the mayor of the city of knoxville and two appointees of the knox county executive shall serve for a period of one year to be succeeded by appointees serving full three year terms,,,,,,
two of the intial appointees of the mayor of the city of knoxville and two of the initial appointees of the knox county executive shall serve for a term of two years to be succeeded by appointees serving full three year terms,the intial appointees of the mayor of the city of knoxville and two of the initial appointees of the knox county executive,,shall,serve,for a term of two years to be succeeded by appointees serving full three year terms,
and two of intial appointees of the mayor of the city of knoxville and two of the intial appointees of the knox county executive three years to be succeeded by appointees serving full three year terms,two of intial appointees of the mayor of the city of knoxville and two of the intial appointees of the knox county executive,,,,three years to be succeeded by appointees serving full three year terms,
be it further resolved the food policy council shall also have associate members selected by the food policy council who have a special interest in food related issues and/or professional and organizational connections to food issues and who shall have the responsibility to participate in all deliberations and meetings of the council but who shall not have voting privileges,,the food policy council shall also have selected by the food policy council who have a special interest in food related issues and/or professional and organizational connections to food issues and who shall have the responsibility to participate in all deliberations and meetings of the council who shall have,,,,
and who shall have the responsibility to participate in all deliberations and meetings of the council,,the responsibility to participate in all deliberations and meetings of the council,shall,have,,
but who shall not have voting privileges,,voting privileges,shall not,have,,
be it further resolved to memorialize these changes the food policy council shall amend its bylaws to reflect these changes and to provide detail concerning specific committee structures and functions,food policy council,its bylaws,shall,amend,to memorialize these changes to reflect these changes and to provide detail concerning specific committee structures and functions,
be it further resolved that if any notifications are to be made to effectuate this resolution then the county clerk is hereby requested to forward a copy of this resolution to the proper authority,county clerk,a copy of this resolution,is requested,forward,if any notifications are to be made to effectuate this resolution the to the proper authority,
